38297	0	81.36	74.24	74.45		0
39418	0	81.57	74.29	74.46		0
40540	0	81.70	74.24	74.49		0
41666	0	81.77	74.30	74.46		0
42787	0	81.82	74.30	74.43		0
43909	0	81.96	74.27	74.41		0
45041	0	82.37	74.43	74.52		0
46162	0	82.76	74.40	74.52		0
47295	0	82.94	74.40	74.54		0
48416	0	82.92	74.48	74.51		0
49538	0	83.02	74.57	74.52		0
50659	0	83.23	74.59	74.62		0
51780	0	83.26	74.57	74.63		0
52901	0	83.46	74.70	74.62		0
54023	0	83.59	74.67	74.65		0
55144	0	83.70	74.73	74.68		0
56265	0	83.87	74.76	74.70		0
57387	0	84.00	74.79	74.74		0
58508	0	84.05	74.76	74.78		0
59629	0	84.23	74.79	74.79		0
60755	0	84.29	74.76	74.62		0
61877	0	84.37	74.87	74.71		0
62998	0	84.52	74.81	74.74		0
64119	0	84.59	74.89	74.78		0
65252	0	84.78	74.98	74.81		0
66373	0	84.92	74.96	74.82		0
115	0	85.49	75.03	74.89		0
1240	0	85.51	75.04	74.87		0
2371	0	85.44	75.09	74.93		0
3492	0	85.46	75.04	74.93		0
4614	0	85.39	75.15	74.92		0
5735	0	85.44	75.12	74.93		0
6856	0	85.26	75.14	75.01		0
7977	0	85.23	75.17	75.01		0
9099	0	85.15	75.15	75.04		0
10220	0	85.05	75.12	75.04		0
11341	0	85.05	75.17	75.00		0
12469	0	84.95	75.15	74.96		0
13590	0	84.92	75.22	75.01		0
14711	0	84.82	75.20	75.07		0
15833	0	84.67	75.20	75.03		0
16965	0	84.67	75.20	75.04		0
18086	0	84.60	75.23	75.03		0
19208	0	84.42	75.18	75.04		0
20329	0	84.44	75.18	75.01		0
21450	0	84.29	75.22	75.03		0
22572	0	84.23	75.25	75.03		0
23693	0	84.23	75.23	75.07		0
24825	0	84.06	75.20	75.06		0
25947	0	84.05	75.22	75.03		0
27068	0	83.95	75.18	75.07		0
28189	0	83.83	75.23	75.09		0
29309	0	83.83	75.23	75.04		0
30431	0	83.70	75.22	75.07		0
31558	0	83.62	75.28	75.11		0
32679	0	83.57	75.26	75.12		0
33801	0	83.54	75.25	75.04		0
34922	0	83.49	75.26	75.11		0
36043	0	83.39	75.26	75.04		0
37176	0	83.34	75.23	75.09		0
38297	0	83.29	75.26	75.09		0
39418	0	83.23	75.18	75.11		0
